BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2021-04-28,SHEL,0.0,330.0,306.0,330.0,640.0,209700.0
2021-04-29,SHEL,0.0,363.0,340.0,363.0,4940.0,1791898.0
2021-05-02,SHEL,0.0,399.0,381.0,399.0,21284.0,8489786.0
2021-05-03,SHEL,0.0,438.0,390.0,438.0,136670.0,58890385.0
2021-05-04,SHEL,0.0,481.0,459.0,481.0,36080.0,17322350.0
2021-05-05,SHEL,0.0,529.0,463.0,529.0,85216.0,43925687.0
2021-05-06,SHEL,0.0,554.0,480.0,481.0,93184.0,46234923.0
2021-05-09,SHEL,0.0,481.0,434.0,435.0,53499.0,23698433.0
2021-05-10,SHEL,0.0,427.0,411.0,425.0,26609.0,11244097.0
2021-05-11,SHEL,0.0,456.0,420.0,439.0,15867.0,6911867.0
2021-05-12,SHEL,0.0,448.0,418.0,435.0,15950.0,6919228.0
2021-05-13,SHEL,0.0,456.0,426.0,442.0,21340.0,9312800.0
2021-05-16,SHEL,0.0,450.0,434.0,435.0,21949.0,9616862.0
2021-05-17,SHEL,0.0,459.0,422.0,450.0,26542.0,11659609.0
2021-05-18,SHEL,0.0,467.0,433.0,460.0,26109.0,12000268.0
2021-05-19,SHEL,0.0,470.0,438.0,441.0,22776.0,10124190.0
2021-05-20,SHEL,0.0,441.0,430.0,434.0,14994.0,6525469.0
2021-05-23,SHEL,0.0,445.0,425.0,434.0,21879.0,9582733.0
2021-05-24,SHEL,0.0,455.0,430.0,436.0,13437.0,5869880.0
2021-05-25,SHEL,0.0,445.0,429.0,435.0,21162.0,9228248.0
2021-05-27,SHEL,0.0,461.0,433.0,451.0,44400.0,19953874.0
2021-05-30,SHEL,0.0,469.0,438.0,439.0,27028.0,12108481.0
2021-05-31,SHEL,0.0,440.0,428.0,428.0,21638.0,9335241.0
2021-06-01,SHEL,0.0,449.0,413.0,425.0,10310.0,4389586.0
2021-06-02,SHEL,0.0,449.0,413.0,430.0,7663.0,3272914.0
2021-06-03,SHEL,0.0,430.0,420.0,421.0,13264.0,5608755.0
2021-06-06,SHEL,429.0,429.0,410.0,417.0,13649.0,5642240.0
2021-06-07,SHEL,417.0,445.0,412.0,435.0,41967.0,17760986.0
2021-06-08,SHEL,435.0,457.0,433.0,437.0,14905.0,6584120.0
2021-06-09,SHEL,440.0,448.0,425.0,430.0,9963.0,4298622.0
2021-06-10,SHEL,438.0,438.0,422.0,429.0,20270.0,8747847.0
2021-06-13,SHEL,435.0,465.0,432.0,462.0,75141.0,33700383.0
2021-06-14,SHEL,471.0,480.0,449.0,451.0,37947.0,17434170.0
2021-06-15,SHEL,442.0,445.0,435.0,444.0,18723.0,8256192.0
2021-06-16,SHEL,422.0,440.0,422.0,426.0,15064.0,6425300.0
